Name		Red	Green	Blue	HEX
plum3	205	150	205	#CDCD96
plum4	139	102	139	#8B8B66
powder blue	176	224	230	#B0B0E0
PowderBlue	176	224	230	#B0B0E0
purple	128	0	128	#808000
purple1	155	48	255	#9B9B30
purple2	145	44	238	#91912C
purple3	125	38	205	#7D7D26
purple4	85	26	139	#55551A
red	255	0	0	#FFFF00
red1	255	0	0	#FFFF00
red2	238	0	0	#EEEE00
red3	205	0	0	#CDCD00
red4	139	0	0	#8B8B00
rosy brown	188	143	143	#BCBC8F
RosyBrown	188	143	143	#BCBC8F
RosyBrown1	255	193	193	#FFFFC1
RosyBrown2	238	180	180	#EEEEB4
RosyBrown3	205	155	155	#CDCD9B
RosyBrown4	139	105	105	#8B8B69
royal blue	65	105	225	#414169
RoyalBlue	65	105	225	#414169
RoyalBlue1	72	118	255	#484876
RoyalBlue2	67	110	238	#43436E
RoyalBlue3	58	95	205	#3A3A5F
RoyalBlue4	39	64	139	#272740
saddle brown	139	69	19	#8B8B45
SaddleBrown	139	69	19	#8B8B45
salmon	250	128	114	#FAFA80
salmon1	255	140	105	#FFFF8C
salmon2	238	130	98	#EEEE82
salmon3	205	112	84	#CDCD70
salmon4	139	76	57	#8B8B4C
sandy brown	244	164	96	#F4F4A4
SandyBrown	244	164	96	#F4F4A4
sea green	46	139	87	#2E2E8B
SeaGreen	46	139	87	#2E2E8B
SeaGreen1	84	255	159	#5454FF
SeaGreen2	78	238	148	#4E4EEE
SeaGreen3	67	205	128	#4343CD
SeaGreen4	46	139	87	#2E2E8B
seashell	255	245	238	#FFFFF5
seashell1	255	245	238	#FFFFF5
seashell2	238	229	222	#EEEEE5
seashell3	205	197	191	#CDCDC5
seashell4	139	134	130	#8B8B86
sienna	160	82	45	#A0A052
sienna1	255	130	71	#FFFF82
sienna2	238	121	66	#EEEE79
sienna3	205	104	57	#CDCD68
sienna4	139	71	38	#8B8B47
silver	192	192	192	#C0C0C0
sky blue	135	206	235	#8787CE
SkyBlue	135	206	235	#8787CE
SkyBlue1	135	206	255	#8787CE
SkyBlue2	126	192	238	#7E7EC0
SkyBlue3	108	166	205	#6C6CA6
SkyBlue4	74	112	139	#4A4A70
slate blue	106	90	205	#6A6A5A
slate gray	112	128	144	#707080
slate grey	112	128	144	#707080
SlateBlue	106	90	205	#6A6A5A
SlateBlue1	131	111	255	#83836F
SlateBlue2	122	103	238	#7A7A67
SlateBlue3	105	89	205	#696959
SlateBlue4	71	60	139	#47473C
SlateGray	112	128	144	#707080
SlateGray1	198	226	255	#C6C6E2
SlateGray2	185	211	238	#B9B9D3
SlateGray3	159	182	205	#9F9FB6
SlateGray4	108	123	139	#6C6C7B
SlateGrey	112	128	144	#707080
snow	255	250	250	#FFFFFA
snow1	255	250	250	#FFFFFA
snow2	238	233	233	#EEEEE9
snow3	205	201	201	#CDCDC9
snow4	139	137	137	#8B8B89
spring green	0	255	127	#0000FF
SpringGreen	0	255	127	#0000FF
SpringGreen1	0	255	127	#0000FF
SpringGreen2	0	238	118	#0000EE
SpringGreen3	0	205	102	#0000CD
SpringGreen4	0	139	69	#00008B
steel blue	70	130	180	#464682
SteelBlue	70	130	180	#464682
SteelBlue1	99	184	255	#6363B8
SteelBlue2	92	172	238	#5C5CAC
SteelBlue3	79	148	205	#4F4F94
SteelBlue4	54	100	139	#363664
tan	210	180	140	#D2D2B4
tan1	255	165	79	#FFFFA5
tan2	238	154	73	#EEEE9A
tan3	205	133	63	#CDCD85
tan4	139	90	43	#8B8B5A
teal	0	128	128	#000080
thistle	216	191	216	#D8D8BF
thistle1	255	225	255	#FFFFE1
thistle2	238	210	238	#EEEED2
thistle3	205	181	205	#CDCDB5
thistle4	139	123	139	#8B8B7B
tomato	255	99	71	#FFFF63
tomato1	255	99	71	#FFFF63
tomato2	238	92	66	#EEEE5C
tomato3	205	79	57	#CDCD4F
tomato4	139	54	38	#8B8B36
turquoise	64	224	208	#4040E0
turquoise1	0	245	255	#0000F5
turquoise2	0	229	238	#0000E5
turquoise3	0	197	205	#0000C5
turquoise4	0	134	139	#000086
violet	238	130	238	#EEEE82
violet red	208	32	144	#D0D020
VioletRed	208	32	144	#D0D020
VioletRed1	255	62	150	#FFFF3E
VioletRed2	238	58	140	#EEEE3A
VioletRed3	205	50	120	#CDCD32
VioletRed4	139	34	82	#8B8B22
wheat	245	222	179	#F5F5DE
wheat1	255	231	186	#FFFFE7
wheat2	238	216	174	#EEEED8
wheat3	205	186	150	#CDCDBA
